"filename", "language", "SQL", "PHP", "JavaScript", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/admin/usuarios.js", "JavaScript", 0, 0, 89, 4, 7, 100
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/admin/usuariosadmin.php", "PHP", 0, 205, 0, 0, 13, 218
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/clases.php", "PHP", 0, 108, 0, 0, 3, 111
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/contenidos.js", "JavaScript", 0, 0, 23, 0, 3, 26
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/contenidos.php", "PHP", 0, 131, 0, 0, 8, 139
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/crudcontenidos.php", "PHP", 0, 14, 0, 0, 6, 20
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/crudentregas.php", "PHP", 0, 39, 0, 0, 7, 46
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/crudevaluaciones.php", "PHP", 0, 13, 0, 0, 5, 18
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/entregas.js", "JavaScript", 0, 0, 54, 3, 6, 63
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/alumno/entregas.php", "PHP", 0, 191, 0, 0, 12, 203
