"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/dataTables.jqueryui.js", "JavaScript", 0, -112, -27, -26, -165
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/dataTables.jqueryui.min.js", "JavaScript", 0, -5, -4, -1, -10
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/dataTables.semanticui.js", "JavaScript", 0, -150, -29, -34, -213
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/dataTables.semanticui.min.js", "JavaScript", 0, -5, -4, -1, -10
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/jquery.dataTables.js", "JavaScript", 0, -6332, -6985, -1980, -15297
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/DataTables-1.10.18/js/jquery.dataTables.min.js", "JavaScript", 0, -162, -4, -1, -167
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/datatables.css", "CSS", -197, 0, -11, -13, -221
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/datatables.js", "JavaScript", 0, -6463, -7022, -2012, -15497
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/datatables.min.css", "CSS", -1, 0, -11, -4, -16
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/datatables/datatables.min.js", "JavaScript", 0, -166, -19, -6, -191
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/jquery/jquery-3.3.1.min.js", "JavaScript", 0, -1, -1, -1, -3
"/Applications/XAMPP/xamppfiles/htdocs/Proyecto_AnalisisyDisenodesistemas/Proyecto/CodificacionPagina/php/assets/popper/popper.min.js", "JavaScript", 0, -1, -4, -1, -6
"Total", "-", -14110, -21220, -15981, -7645, -58956
